"Player Name","Team","Pos","Games","PPR","1.5 TE","Half","Std","6 Pt Pass","ADP"
"Noah Gray","KC","TE","17","74.5","89.4","59.5","44.6","74.5","30"
"Dylan Laube","FA","RB","17","71.2","71.2","59.2","47.1","71.2","76"
"Greg Dortch","ARI","WR","17","71.3","71.3","58.7","46.1","71.3","180"
"Jalen Tolbert","DAL","WR","17","70.1","70.1","57.7","45.4","70.1","134"
"Joshua Kelley","LAC","RB","17","60.7","60.7","57.5","54.3","60.7","115"
"Javon Baker","FA","WR","17","69.4","69.4","57.0","44.7","69.4","108"
"New NYJ RB","NYJ","RB","17","64.5","64.5","57.0","49.5","64.5",""
"Xavier Gipson","NYJ","WR","17","67.4","67.4","55.8","44.3","67.4","140"
"Kalif Raymond","DET","WR","17","68.8","68.8","55.3","41.7","68.8","162"
"New JAX RB","JAX","RB","17","61.7","61.7","55.2","48.8","61.7",""
"David Bell","CLE","WR","17","69.1","69.1","54.5","39.8","69.1","129"
"New CAR RB","CAR","RB","17","60.6","60.6","53.9","47.2","60.6",""
"DeVante Parker","NE","WR","17","66.9","66.9","53.6","40.4","66.9","203"
"Jaylen Wright","FA","RB","17","57.4","57.4","53.4","49.4","57.4","69"
"Dawson Knox","BUF","TE","17","66.9","80.8","53.1","39.3","66.9","34"
"Calvin Austin III","PIT","WR","17","64.3","64.3","53.0","41.6","64.3","129"
"Jamaal Williams","NO","RB","17","55.9","55.9","52.3","48.7","55.9","89"
"Cody Schrader","FA","RB","17","56.1","56.1","52.1","48.1","56.1","77"
"Dillon Johnson","FA","RB","17","56.0","56.0","52.0","47.9","56.0","80"
"New WAS WR","WAS","WR","17","64.4","64.4","51.9","39.4","64.4",""
"Nelson Agholor","BAL","WR","17","64.6","64.6","51.5","38.4","64.6","134"
"Brandon Powell","MIN","WR","17","63.9","63.9","51.4","39.0","63.9","162"
"Ezekiel Elliott","NE","RB","17","57.9","57.9","51.4","44.9","57.9","64"
"Brevin Jordan","HOU","TE","17","63.6","75.8","51.3","39.1","63.6","33"
"Jelani Woods","IND","TE","17","62.3","74.2","50.5","38.6","62.3","39"
"Latavius Murray","BUF","RB","17","54.5","54.5","50.0","45.5","54.5","139"
"Van Jefferson","ATL","WR","17","63.2","63.2","49.9","36.5","63.2","203"
"Ihmir Smith-Marsette","CAR","WR","17","65.9","65.9","49.7","33.5","65.9","203"
"Juju Smith-Schuster","NE","WR","17","65.0","65.0","49.6","34.3","65.0","140"
"Mike Gesicki","NE","TE","17","61.2","73.2","49.3","37.3","61.2","50"
"Kylen Granson","IND","TE","17","61.8","74.5","49.2","36.6","61.8","54"
"Jerick McKinnon","KC","RB","17","61.3","61.3","49.2","37.0","61.3","74"
"Jarrett Stidham","DEN","QB","17","49.1","49.1","49.1","49.1","59.3","53"
"New CLE RB","CLE","RB","17","53.1","53.1","48.9","44.7","53.1",""
"Jacob Cowing","FA","WR","17","61.3","61.3","48.8","36.4","61.3","118"
"Israel Abanikanda","NYJ","RB","17","57.3","57.3","48.7","40.1","57.3","68"
"Jordan Whittington","FA","WR","17","59.1","59.1","48.0","36.8","59.1","134"
"Cade Stover","FA","TE","17","60.0","72.5","47.5","35.0","60.0","37"
"Jalen McMillan","FA","WR","17","58.9","58.9","47.5","36.1","58.9","122"
"Tommy Tremble","CAR","TE","17","61.5","75.7","47.3","33.1","61.5","50"
"Samaje Perine","DEN","RB","17","55.8","55.8","47.2","38.6","55.8","115"
"Aidan O'Connell","LVR","QB","17","47.2","47.2","47.2","47.2","57.5","38"
"Jimmy Garoppolo","LVR","QB","17","47.2","47.2","47.2","47.2","57.5","46"
"Clyde Edwards-Helaire","KC","RB","17","53.8","53.8","46.5","39.2","53.8","72"
"Cedrick Wilson","MIA","WR","17","56.3","56.3","46.5","36.6","56.3","150"
"Tanner Hudson","CIN","TE","17","58.4","70.6","46.3","34.2","58.4","44"
"Jamari Thrash","FA","WR","17","56.8","56.8","46.2","35.6","56.8","125"
"Donald Parham Jr.","LAC","TE","17","57.6","69.3","45.9","34.2","57.6","36"
"Davis Allen","LAR","TE","17","58.8","71.9","45.7","32.6","58.8","28"
"Tyquan Thornton","NE","WR","17","58.8","58.8","45.6","32.3","58.8","203"
"Rasheen Ali","FA","RB","17","49.1","49.1","45.1","41.1","49.1","95"
"New KC RB","KC","RB","17","49.3","49.3","44.8","40.4","49.3",""
"New MIA RB","MIA","RB","17","48.7","48.7","44.6","40.6","48.7",""
"New ARI RB","ARI","RB","17","47.5","47.5","44.4","41.3","47.5",""
"Justin Watson","KC","WR","17","52.6","52.6","44.4","36.1","52.6","101"
"Adam Trautman","DEN","TE","17","56.1","68.0","44.3","32.5","56.1","96"
"Mack Hollins","ATL","WR","17","53.8","53.8","44.1","34.4","53.8","180"
"John Metchie III","HOU","WR","17","53.9","53.9","44.0","34.0","53.9","134"
"Tank Bigsby","JAX","RB","17","47.9","47.9","43.9","39.9","47.9","70"
"Ben Sinnott","FA","TE","17","55.4","66.9","43.9","32.3","55.4","42"
"Isaiah Hodgins","NYG","WR","17","54.8","54.8","43.5","32.2","54.8","180"
"New ATL RB","ATL","RB","17","45.6","45.6","42.8","40.0","45.6",""
"Marquez Valdes-Scantling","KC","WR","17","50.9","50.9","42.7","34.5","50.9","98"
"Emani Bailey","FA","RB","17","45.5","45.5","42.5","39.4","45.5","100"
