season,week,posteam,full_name,targets std,ypr std,catch rate std,rec std,rec yards std,rush std,rush yards std,ypc std,rec tds std,rush tds std,Pos,ypa std,pass attempt std,completions std,pass yards std,pass td std,int std
2018,15,WAS,Maurice Harris,1.197525464,3.573937845,0.140132367,0.752817789,9.138762251,0.248276271,2.114605266,1.597964239,0.127207153,0.021950934,WR,0,0,0,0,0,0
2021,20,TEN,Chester Rogers,1.523163477,3.209741328,0.117337404,1.072101512,13.24672165,0.184570005,1.440886226,1.147360821,0.188061008,0.017853414,WR,0,0,0,0,0,0
2017,7,CLE,Kasen Williams,1.197525464,3.573937845,0.140132367,0.752817789,9.138762251,0.248276271,2.114605266,1.597964239,0.127207153,0.021950934,WR,0,0,0,0,0,0
2016,17,PHI,Dorial Green-Beckham,1.596516343,3.514549737,0.118743153,1.048591965,12.07065807,0.377634412,2.854902575,1.894773119,0.178523203,0.037971228,WR,0,0,0,0,0,0
2024,18,SEA,Tyler Lockett,2.057601013,3.461023955,0.10336274,1.43932592,17.02162935,0.233536531,1.579267747,1.174982795,0.193029874,0.03914858,WR,0,0,0,0,0,0
2023,17,DEN,Phillip Dorsett,2.018546352,3.383297009,0.11777899,1.212714073,15.10250085,0.965729096,4.519661132,1.738329552,0.179198855,0.036560329,WR,0,0,0,0,0,0
2023,14,NE,Ty Montgomery,1.555829555,3.596768434,0.129945165,0.986510357,12.65375022,0.244384059,1.74321265,1.43071743,0.172002822,0.022539941,WR,0,0,0,0,0,0
2018,16,JAX,Rashad Greene,1.382833747,3.362458623,0.150532631,0.847132626,10.19859879,0.265134906,1.797591175,1.501215243,0.132983234,0.016654866,WR,0,0,0,0,0,0
2018,4,HOU,Sammie Coates,1.555829555,3.596768434,0.129945165,0.986510357,12.65375022,0.244384059,1.74321265,1.43071743,0.172002822,0.022539941,WR,0,0,0,0,0,0
2019,16,LV,Tyrell Williams,1.523163477,3.209741328,0.117337404,1.072101512,13.24672165,0.184570005,1.440886226,1.147360821,0.188061008,0.017853414,WR,0,0,0,0,0,0
2024,18,SF,Chris Conley,2.057601013,3.461023955,0.10336274,1.43932592,17.02162935,0.233536531,1.579267747,1.174982795,0.193029874,0.03914858,WR,0,0,0,0,0,0
2017,18,CAR,Kaelin Clay,1.482098959,3.590709977,0.124256309,1.001579222,12.31740748,0.203196694,1.943892262,1.50821107,0.13935206,0.037439111,WR,0,0,0,0,0,0
